,P(x),P(y),D_In,D_In_max,D_In_min,D_Out,D_Out_max,D_Out_min,D_Cyl,D_Cyl_max,D_Cyl_min,Rz_In_max,Rz_In,Rz_Out_max,Rz_Out,Rz_Cyl_max,Rz_Cyl,Rt_In,Rt_Out,Rt_Cyl,Rq_In,Rq_Out,Rq_Cyl,Ra_In,Ra_Out,Ra_Cyl,Moy_F_T1&T2,Moy_F_T2&T3,Moy_F_T3&T4,Max_F_T1&T2,Max_F_T2&T3,Max_F_T3&T4,Moy_M_T1&T2,Moy_M_T2&T3,Moy_M_T3&T4,Max_M_T1&T2,Max_M_T2&T3,Max_M_T3&T4,Et_Consommee
0,0,0,6361.101,6390.165,6337.090999999999,6356.137,6379.951,6331.168000000001,6360.885,6386.48488,6337.592826,13.40161133,3.689795017,15.64282227,8.366699219,3.285400391,1.166601539,13.40161133,15.64282227,3.285400391,1.089762449,1.7022335530000001,0.47545191600000003,0.448710561,0.789645374,0.256140143,33.975032,53.628251,11.694397,40.333259999999996,60.19238000000001,57.84646800000001,0.039393,0.166414,0.22418400000000002,0.060992,0.265538,0.36441599999999996,203.42113899999998
1,0,-14800,6360.422,6382.916,6336.803000000001,6356.971,6385.83,6328.615,6361.655,6385.5259479999995,6338.788295,3.9819335939999996,1.59550786,8.959960938,4.600293159,1.520507813,0.81943357,3.9819335939999996,9.593505859,1.5859375,0.38182348,0.9718236920000001,0.307605833,0.220629379,0.500461996,0.23400268,39.723554,62.622232,14.035667000000002,46.471775,68.722535,63.219992000000005,0.042361,0.233616,0.338397,0.05513,0.40422199999999997,0.509717,311.625602
2,0,-29600,6361.12,6380.387,6342.378000000001,6355.781999999999,6368.56,6346.285,6361.503000000001,6384.172075,6340.074184,9.005859375,3.0961914060000004,5.4616699220000005,2.919872999,2.091552734,1.253710985,9.005859375,5.4616699220000005,2.428710938,0.751598477,0.581660748,0.503427386,0.303454965,0.340761214,0.349189132,41.288167,67.834519,14.707066000000001,48.169981,74.660174,69.274525,0.044052,0.270518,0.380102,0.058972000000000004,0.471183,0.541733,346.459683
3,0,-44400,6361.548000000001,6387.46,6335.5869999999995,6356.731,6374.355,6340.531,6362.44,6392.826233,6332.363617,10.73535156,3.701122999,5.484375,2.282275438,1.6770019530000002,0.904980481,10.73535156,5.484375,1.704589844,0.912857354,0.46955305299999994,0.34193542600000004,0.38341498399999996,0.246802568,0.228765875,44.174433,72.52640600000001,15.270365,49.695215000000005,80.390653,69.841536,0.046448,0.30744,0.406943,0.06543099999999999,0.506979,0.561767,365.95639900000003
4,0,-59200,6361.723000000001,6388.821999999999,6333.843000000001,6357.076999999999,6380.656999999999,6335.276999999999,6362.719,6391.846588,6334.568852,2.908203125,1.984521508,5.995605469,3.019238234,2.093017578,1.121289015,2.9409179689999996,5.995605469,2.238769531,0.383894354,0.67801559,0.41220518899999997,0.24315483899999998,0.378432184,0.302728891,45.326208,75.46774,16.967012,52.503333,86.261302,74.09843000000001,0.048299,0.310324,0.42134799999999994,0.066481,0.517174,0.5615829999999999,385.516179
5,7400,-7400,6361.161999999999,6386.688,6333.23,6352.789000000001,6380.182,6321.359,6361.187,6390.249536,6331.820581,6.584960937999999,2.363037109,3.0610351560000004,1.8351562019999998,1.814941406,1.1690918209999999,6.584960937999999,3.0610351560000004,1.814941406,0.48049733,0.38885629200000005,0.388355196,0.250735402,0.25166297,0.289018244,47.541527,80.36491600000001,18.865215,55.521627,91.477684,78.146546,0.050122,0.318756,0.427641,0.070576,0.525139,0.565917,397.828862
6,7400,-22200,6361.276999999999,6380.156999999999,6342.791,6353.355,6369.595,6340.893,6360.861999999999,6390.19089,6331.950559000001,7.3034667970000005,3.612841845,6.7727050779999995,3.650683641,2.155273438,1.478515625,7.3034667970000005,8.086914063,2.373046875,0.789115012,0.757620692,0.516834021,0.40347558299999997,0.42501410799999995,0.394161075,46.253235,79.939818,16.903563000000002,54.969081,91.853988,78.028942,0.049454000000000005,0.324899,0.418781,0.07255199999999999,0.5312560000000001,0.555996,391.262686
7,7400,-37000,6360.839,6383.468000000001,6339.778,6354.177,6375.335,6337.8730000000005,6361.508000000001,6382.209747,6341.485922999999,3.147216797,1.8687988519999998,11.01611328,4.386670113,1.687255859,1.099121094,3.147216797,11.01611328,1.731445313,0.404069424,0.994690657,0.349433929,0.25559622,0.423190057,0.256864637,48.125333000000005,83.21876,18.993177,55.546732999999996,94.627782,81.168564,0.050877,0.336741,0.430468,0.075588,0.539825,0.5665600000000001,395.765291
8,7400,-51800,6360.9619999999995,6375.735,6346.262,6355.806,6384.703,6324.48,6362.561,6382.100388,6342.416425,5.455566406,2.3828125,7.630371094,4.385156155,1.69921875,0.99521482,5.455566406,8.469482422,1.69921875,0.47479823200000004,0.807914197,0.35593158,0.267996818,0.416294605,0.28195709,48.138456,84.373255,19.855501,54.888932999999994,95.859933,81.54549300000001,0.05384,0.33467600000000003,0.43544700000000003,0.079679,0.532698,0.561415,408.71976800000004
9,7400,-66600,6361.874,6382.803000000001,6340.047,6354.111999999999,6376.545999999999,6335.626,6360.996,6380.783543,6343.2204329999995,4.2927246089999995,1.6320312019999998,4.6755371089999995,2.728808641,2.279296875,1.754345655,4.2927246089999995,4.6755371089999995,2.7905273439999996,0.40935215399999997,0.5191032289999999,0.541483939,0.245200709,0.316069931,0.38147431600000004,49.124188000000004,87.63297,19.398912,56.201609,100.872546,85.288797,0.053578999999999995,0.332598,0.425979,0.076968,0.5397489999999999,0.556269,397.37153
